2012: Time for Change;2012: Time For Change is a documentary feature that presents ways to transform our unsustainable society into a regenerative planetary culture. This can be achieved through a personal and global change of consciousness and the systemic implementation of ecological design.;85;2010-10-08;/kE5SAdIVTTDhefwzek81laEDaxT.jpg
2016: Obama's America;"2016: Obama's America takes audiences on a gripping visual journey into the heart of the worlds most powerful office to reveal the struggle of whether one man's past will redefine America over the next four years. The film examines the question, ""If Obama wins a second term, where will we be in 2016?""  Across the globe and in America, people in 2008 hungered for a leader who would unite and lift us from economic turmoil and war. True to Americas ideals, they invested their hope in a new kind of president, Barack Obama. What they didn't know is that Obama is a man with a past, and in powerful ways that past defines him--who he is, how he thinks, and where he intends to take America and the world. Immersed in exotic locales across four continents, best selling author Dinesh DSouza races against time to find answers to Obama's past and reveal where America will be in 2016.";87;2012-07-13;/jqpHg4h2bmHFWDOF0iBqqNo73Go.jpg
22 Minutes;22 minutes got Russian marine to free a hijacked oil tanker far from shore.;90;2014-05-08;/orxkKK3mwfdFm2QNFcx61JrqrSz.jpg
24 Hours On Craigslist;24 Hours on Craigslist is a 2005 American feature-length documentary that captures the people and stories behind a single day's posts on the community-focused, classified website Craigslist. The film, made with the approval of Craigslist's founder Craig Newmark, is woven from interviews with the site's users, all of whom opted in to be contacted by the production when they submitted their posts on August 4, 2003. The documentary screened in nine film festivals during 2004 and 2005, winning a 'best feature documentary', and played in a limited, self-distributed, theatrical release in 2005 and 2006. The film was released on DVD on April 25, 2006;82;2006-01-19;/aMTBFUbegzdCDQOzZKWLtu3wmrK.jpg
26 Years;26 years ago, state troops were ordered to open fire on civilians in the city of Gwangju who were demonstrating as apart of a democratic movement. Thousands of civilians were killed. Now, a shooter from the national team, a gang member, a policeman, CEO from a large company and director of a private security outfit get involved in a plan to convict the person responsible for the massacre.;135;2012-11-29;/rTSxMcN1JCsoJVT9u3w9pSfSL1D.jpg
3 Simoa;A caper comedy about two friends, Simo and Lasse, who try to earn their living as burglars. But now there's also Baby Simo.;90;2012-09-13;/tWqJ3sQ5k7w322uN8QTeQjcp6yZ.jpg
3: The Dale Earnhardt Story;A Biographical story of Dale Earnhardt, Sr.  The movie starts with his young life and growing up with his father, Ralph, who raced for a living, but initially wanted more for his son. When Dale quits high school to start driving full time, his father aids him and shows a reluctant pride when he is initially successful. Armed with many of his father's philosophies, Dale pushed himself to be the best. His aggressive track mannerisms earned himself fans and detractors. Fellow racer Neil Bonnett was one of those long time friends whose death deeply affected Dale. Darrell Waltrip clearly was a detractor and the two men's rivalry is clearly depicted. Off the track, Dale's determination to make it impacts two marriages. Third wife Theresa was closer to racing and met Dale when he had started his rise into the Winston Cup circuit. The story also looks at his relationship with his children.;92;2004-12-11;/vB4yVY0Vwdj0SCv248qLmuJUEIg.jpg
4.1 Miles;A coast guard captain on a small Greek island is suddenly charged with saving thousands of refugees from drowning at sea.;21;2016-09-28;/xJPz3qN8m1NJ5mEiYlNGtWRXvgn.jpg
400 Days;4 would be astronauts spend 400 days in a land locked space simulator to test the psychological effects of deep space travel but, when something goes terribly wrong and they are forced to leave the simulation, they discover that everything on earth has changed. Is this real or is the simulation on a higher level than they could have ever imagined?;91;2015-10-29;/gi1wfVjtJ0HlkuvvnPhv0yveyXO.jpg
49 Up;"49 Up is the seventh film in a series of landmark documentaries that began 42 years ago when UK-based Granada's World in Action team, inspired by the Jesuit maxim ""Give me the child until he is seven and I will give you the man,"" interviewed a diverse group of seven-year-old children from all over England, asking them about their lives and their dreams for the future. Michael Apted, a researcher for the original film, has returned to interview the ""children"" every seven years since, at ages 14, 21, 28, 35, 42 and now again at age 49.In this latest chapter, more life-changing decisions are revealed, more shocking announcements made and more of the original group take part than ever before, speaking out on a variety of subjects including love, marriage, career, class and prejudice.";180;2005-09-15;/rCIMiq6XY7UnAsljlmJy8iazTqL.jpg
5150 Elm's Way;5150 ELM'S WAY is located at the end of a quiet street in a small town. When Yannick fell off his bike, he knocked at the door of the Beaulieu residence so he could clean the blood off his hands. But Jack Beaulieu and his family had other plans for Ian. Beaulieu is a righteous psychopath and fanatic chess player who wants to rid the world of evil. And even though Ian has done nothing wrong, he is beaten, tortured and tormented before Beaulieu makes him an offer: win at chess and he is free to go. And so Ian is now a pawn in Beaulieu 's game. A game in which he will either lose his mind or his life.;110;2009-10-09;/w9LzXLDUaXybd0qo8wsFdA4GWcG.jpg
54 Days;5 people trapped in a bunker after a nuclear and biological attack are forced to make an impossible decision - either one dies or they all die.;87;2014-11-16;/nNh4KZSsff00hzwVqKu8QQfxyoA.jpg
7 Khoon Maaf;7 Khoon Maaf movie is a romantic misadventures story of an Anglo-Indian woman Susanna Anna-Marie Johannes, a beautiful lass who over the course of thirty-five odd years, gets married seven times due to the untimely and mysterious deaths of half a dozen of her hapless husbands. The strange circumstances of their deaths, makes Susanna a prime accused. Did the husbands deserve to die? Were the murders out of necessity or pure blood-lust? Does Susanna ever find her one true love?;137;2011-02-18;/3v2pF8ubf1VMQ1cGZasDxesr6f5.jpg
71 Fragments of a Chronology of Chance;71 scenes revolving around multiple Viennese residents who are by chance involved with a senseless gun slaughter on Christmas Eve.;100;1994-05-18;/u3s5gYDNW5KoaBjZhRZXCiw8kQq.jpg
78/52;78 shots. 52 cuts. The shower scene from PSYCHO.;91;2017-11-03;/mgxvMjVTCPVu2izLJjUqgs6bDWN.jpg
8 X 10 Tasveer;8X10 Tasveer is a story about young man named Jai Puri, (Akshay Kumar), who possesses supernatural powers. Jai is of Indian origin who works as a forest ranger in Canada. His life is shattered by a loss of a very important person in his life. This personal tragedy leads him to use his unique supernatural power to unravel the mystery behind the murder.;119;2009-04-03;/2nrybYsfWU1lUkLrt2XELg2tT4d.jpg
8-Ball;8-Ball tells the story of  single mother Pike who, having just been released from prison, is trying to start her life anew. When her former boyfriend Lalli comes back from abroad, it opens a window into a past that Pike wants to put behind her.;110;2013-02-22;/upG3fAmMiTpGOxBTodam3dHXiI8.jpg
80 Minutes;80 minutes to live or die. Alex got injected with a high tech poison by his creditor and put on a time clock to pay his debt back in 1 hour and 20 minutes. Will he make it or even further will he stay loyal to his friends and relatives under a pressure like running out of time?;92;2008-09-02;/zjCIbbBaZvuvD7Sx5nzPl42Cqxd.jpg
9-Man;'9-Man' is an independent feature documentary about an isolated and exceptionally athletic Chinese-American sport that's much more than a pastime. Since the 1930s, young men have played this gritty streetball game competitively in the alleys and parking lots of Chinatown. At a time when anti-Chinese sentiment and laws like the Chinese Exclusion Act forced Chinese restaurant workers and laundrymen to socialize exclusively amongst themselves, nine-man offered both escape and fraternity for men who were separated from their families in China and facing extreme discrimination and distrust. Pivoting between oil-spotted Chinatown parking lots and jellyfish-filled banquet scenes, the film captures the spirit of nine-man as players not only battle for a championship but fight to preserve a sport that holds so much history.;87;2014-04-27;/mvkLc73ROYsEKqBFDd3a4PvVK5g.jpg
9to5: Days in Porn;"9to5 - Days in Porn focuses on the people behind a controversial and multi-billion dollar industry ""The Adult Entertainment industry"". It depicts their stories, each one different, unadorned and authentic, without glorification or prejudice. It delivers deep insight into their personal lives - from glamorous to grotesque - strange, fascinating, offensive, absurd and sometimes funny moments all at once.";113;2008-08-24;/kBmMzVW4mfrSwadeqVnZsueS4BA.jpg
A Bell for Ursli;A boy must brave deep winter snow to obtain an important family keepsake. Before he can even start this difficult journey he must first help his family survive financial ruin, rescue his beloved pet goat, and with his best friend, outwit a bratty bully who seems out to get him at every turn. Will he make it back to the village in time to celebrate the end-of-winter holiday of Chalandamarz?;100;2015-10-15;/7gnfODKgElk3GfC8mArPuitdvUl.jpg
A Brighter Summer Day;A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.;237;1991-07-27;/rUmXrzRxzLiHnAQUyxyuhcLEWNy.jpg
A Bullet for Pretty Boy;"A biography of Charles ""Pretty Boy"" Floyd, a gangster who started his career at a young age after seeking revenge for his father's murder.";89;1970-07-15;/sUQCGPfXN5o2aNMvVbHscBMYOVW.jpg
A Christmas Memory;A boy, Buddy, whose parents have split and whose mother is an actress in New York, has been dumped in the south at the small-town home of some older cousins, all of whom are unmarried.;96;1997-12-21;/vcgH3R3EOieMSvt30KurOPCP6WT.jpg
A Cry in the Wild;13-year-old Brian is the sole survivor of an unreported plane crash. Alone in the Yukon wilderness, Brian must learn to survive by his wits, find food and shelter, and brave wild, hungry animals until or if he is found.;82;1990-06-01;/jckXdSmdgQiRp3FC3oFalGln0J7.jpg
A Daughter's Nightmare;A college student suspects that a nurse may harm her lonely, widowed mother.;90;2014-05-03;/dZOWHxdCgAbMjNef5ljOoCZlTRo.jpg
A Few Best Men;A comedy about a groom and his three best men who travel to the Australian outback for a wedding.;97;2011-10-14;/aOUd5BmcBBLIqayVJaYwXNu6jjH.jpg
A Flower;A boy grows a seed into a flower while the world around him marches on.;8;1971-01-01;/nfmpoqJbXivd5GD6clxiZZw2nVs.jpg
A Ghost in Monte Carlo;A chance meeting between British nobleman and lovely young Mistral foils a plot by her manipulating Aunt Emilie to avenge the death of her sister, Mistral's mother, who died in childbirth. But when an unscrupulous blackmailer and a rapacious Rajah enter the plot, the growing attraction between Lord and convent girl becomes yet more fraught with Danger.;90;1990-01-01;/jc2eymkAfgU9G2ICNNChmAO67xn.jpg
A Gun in Each Hand;A comedy centered on eight men in their 40s, all with identity crises.;100;2012-12-05;/xb46MjvsYW5n5bcW0Bf82m2SEkF.jpg
A Journey Through Fairyland;A boy, the son of famous musicians, is kicked out of a music university when he spends too much time with tending plants. A flower fairy helps him out as thanks for his treatment of the plants.;90;1985-01-01;/g39DIQiN1PRPD8Enb5XQqkcDpL2.jpg
A Lady Takes a Chance;A city girl on a bus tour of the West encounters a handsome rodeo cowboy who helps her forget her simpy city suitors.;86;1943-08-19;/rB29SX4KYjHpWJmW48ZJVml9wWb.jpg
A Low Down Dirty Shame;A black detective becomes embroiled in a web of danger while searching for a fortune in missing drug money. During the course of his investigation, he encounters various old connections, ultimately confronting the criminal responsible for Shame's expulsion from the force. He must also deal with two women, Angela, a beautiful old flame, and Peaches, his energetic but annoying sidekick.;100;1994-11-23;/2R1vC1krfvX4U7ObdOCtQak2mgY.jpg
A Million;8 contestants compete for a billion wons ($1 Million USD) in a survival reality TV show. The challengers must spend 7 days in the Australian desert. On the second day, one contestant is found dead. The other contestants then find themselves in horrifying situations as they deal with each others' lies and deceits.;114;2009-08-06;/xLWt8JgN2lqMfMs4DN6O2xFTKWU.jpg
A Monster Calls;A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.;108;2016-10-07;/vdHUj9cyRe7fIYdJFMyc7elnawC.jpg
A New Life;A 2002 French experimental film directed by Philippe Grandrieux and starring Zachary Knighton and Anna Mouglalis. The story involves a young American who falls obsessively in love with a mysterious courtesan named Melania against the backdrop of a dilapidated Eastern European landscape.;102;2002-11-27;/wf2N7UVzXWCUdI5X0puLcOoAWHT.jpg
A Patch of Blue;A blind, uneducated white girl is befriended by a black man, who becomes determined to help her escape her impoverished and abusive home life.;105;1965-12-10;/srKe3Xid8dc2np8KumAFhFeiDEs.jpg
A Rage in Harlem;A beautiful black gangster's moll flees to Harlem with a trunkload of gold after a shootout, unaware that the rest of the gang, and a few other unsavoury characters, are on her trail. A pudgy momma's boy becomes the object of her affections and the unlikely hero of the tale.;115;1991-05-03;/v5uuIzE7T0YO2dIBMJYMsW0GJuB.jpg
A Smile Like Yours;A comedy about a couple who cannot conceive a baby;98;1997-08-27;/cqFWldhDbHZDTUpsSirrH8xcuTp.jpg
A Summer Story;"A bittersweet tale of lost love, based on a short story (""The Apple Tree"") by John Galsworthy.";95;1988-08-11;/egzqJrchnw8WH8ceHb3qnBXg6mb.jpg
A Thousand Months;1981, Morocco. A village in the Atlas mountains. A city in the distance. A child. A family facing its destiny.;124;2003-10-01;/5POon1Yiojh30uVsn5TE1QHWoDo.jpg
Aankhen;A 1993 Bollywood Comedy starring Govinda and Chunky Pandey. This movie kick started a long line  of Comedy movies for Govinda.;170;1993-09-09;/qgE7Lk9MdWxZf1Phj8ofnEgf6On.jpg
About Schmidt;66-year-old Warren Schmidt is a retired insurance salesman and has no particular plans other than to drive around in the motor home his wife insisted they buy. He's not altogether bitter, but not happy either, as everything his wife does annoys him, and he disapproves of the man his daughter is about to marry. When his wife suddenly dies, he sets out to postpone the imminent marriage of his daughter to a man he doesn't like, while coping with discoveries about his late wife and himself in the process.;125;2002-12-13;/riJV5Bq0IXItG3ceywNWkw7il7K.jpg
Absent Minded;A child's daydream during a school lesson is abruptly interrupted by the teacher. The instructor threatens to cut off the young pupil's ear to encourage concentration and prevent further escapes into the realms of imagination.;8;2013-01-01;/hbOl4YXruwQgjb1H9IxfXX4i4xl.jpg
Aces and Eights;A card sharp steps in when a Mexican family's ranch is threatened by swindlers and cheats.;62;1936-06-06;/jl31aXDLu5s7w14SmzD6W5rc20Z.jpg
Adama;"12 year-­old Adama lives in a remote village in West Africa, sheltered by the Cliffs. Out, beyond, lies ""the land of breaths"", the kingdom of wicked spirits hungry for war. When Samba, his elder brother, suddenly vanishes from the village, Adama decides to set off in search of him. Accompanied first by Abdou, a tragically lucid griot, then by Maximin, a street urchin who is his own negative twin, he crosses a Europe in the grip of war. We're in 1914. Borne by the energy of desperation and the poetry of childhood, Adama travels to the hell of the frontline in order to free his brother. Ultimately, Adama's love for his brother will open an unexpected way to his initiatory journey.";85;2015-10-21;/iHOFfZ55RzB9qchl9eywFAgl5P9.jpg
Addiction - When Nothing Is Enough;30-something Jonna, successful executive with cozy architect husband Niklas and two children, leads a double life. She is constantly on the lookout for quick casual sex. When she starts seeing handsome and rich young yacht owner Aleksi, things start going awry in her life. While her sister Sanna provides her with suitable alibis,sex therapist Nora tries to help her come to terms with her addiction;98;2004-01-16;/nFYlWEMoBXlqQCaoIjaFFyTxnqe.jpg
Adventures of Don Juan;A 1948 adventure Technicolor romance film made by Warner Bros. highlighting Errol Flynn's swashbuckling and romantic antics.;110;1948-12-01;/nXOcvdCnXJ5p3yao5TMHBXQcfA9.jpg
Afro Samurai;A Black samurai goes on a mission to avenge the wrongful death of his father in a futuristic feudal Japan.In the Afro Samurai world there are many headbands and they signify the best fighters in the world. If a person should hold number 1, they are referred to as a god among combatants, killers, and assassins. Afro Samurai's father was number one. That was until a cowboy mutant gunslinger named Justice shot him in the head. Now as number two, Afro seeks sweet, pure, and bloody revenge.;125;2007-01-04;/jHqYtu8GupWYegVWWs2lFrnMkgd.jpg
Age Of Kill;A black ops sniper is blackmailed by a psychotic international terrorist into killing 6 unrelated people in 6 hours... but there is more to the victims than meets the eye.;85;2015-06-15;/uMGTaBtbbZUDZjuPXoOEQfJMCKJ.jpg
Albino;A colonial police officer in Rhodesia hunts down the albino terrorist who raped and murdered his fiancee.;97;1976-03-15;/cHFimvph6WLLO8IscXWgsybp2Ne.jpg
Alice Cooper: Welcome to my Nightmare;"A 1975 Alice Cooper concert hosted by Vincent Price, with Alice Cooper's trademark ""horror"" stage act, and performances of some of his hit songs, including ""Only Women Bleed"", ""School's Out"" and ""Steven"".";84;1975-11-28;/uaIJbbkEv4MvECSQiFBZoC0bugs.jpg
Alien Predators;3 young friends are on vacation in Spain, until weird things begin to occur and then a man from NASA tells them what's really going on: Dangerous Alien Organisms from the Apollo 14 Moon Mission, which was tested on animals on SkyLab. But then the organisms fell to earth with SkyLab and they are now starting to infect people by brutally killing them off. And these 3 friends and NASA scientist must get an antidote from a NASA Lab nearby and save themselves and the rest of the world.;90;1985-01-01;/hCnerFAqhTqgH9sKvZlthKo2z5o.jpg
Alien vs. Ninja;A band of ninja warriors, led by an Iga Ninja named Yamata, witness a giant ball of fire drop from the sky and crash into the forest. When the warriors find and attempt to identify the object, they discover aliens that attack and feast on them. Yamata and the survivors swear vengeance, but in challenging the aliens, they learn that their weapons have no effect.;81;2010-07-03;/bUhKcG7wqbdRRUCtsKh9unhP6qn.jpg
All About E;A beautiful sexy DJ is forced to run when she stumbles on a stash of cash. Can she keep the money, conquer her demons, AND get the girl?;93;2015-02-21;/cvWqoTuRdRGfE4kQBdUGlWjRIqL.jpg
All About the Feathers;A black comedy about Chalo, a lone security guard who acquires his first gamecock and discovers the bittersweet taste of friendship.;85;2013-09-20;/xuXM6B7Hx2aIh1e93GU7iX4hD2l.jpg
All Things Fall Apart;50 Cent stars as gifted college running back Deon in this touching drama. Deon's world turns upside down when an unexpected crisis jeopardizes his professional ambitions -- and causes him to look at himself and his life in a new way.;106;2011-03-05;/ro7keqOD8XqtBSw5cQhmbyyQNvk.jpg
Alligator;A baby alligator is flushed down a Chicago toilet and survives by eating discarded lab rats, injected with growth hormones. The now gigantic animal, escapes the city sewers, and goes on a rampage, pursued by a cop and a big-game hunter.;91;1980-07-02;/xGdzbwVDnTu3WwOtrFjI8qDfoLU.jpg
Aloha;A celebrated military contractor returns to the site of his greatest career triumphs and re-connects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.;105;2015-05-27;/4Q0rnkCsQ9GhdnR66Bqjvav2Q1x.jpg
Amber Alert;A 20 year old man takes a bus full of young children hostage in exchange for money to help his sick mother. Meanwhile a detective must over come doubt from family and co-workers while she tries to negotiate with the hostage taker.;90;2016-01-01;/g1cLd9hMMbZSnlh4DzhYP2clZQK.jpg
Amber Lake;A bizarre family reunion turns deadly when three estranged half-sisters are invited to visit the father who abandoned them as children.;81;2011-10-11;/6LYrZKmrVkMz6b3z5OUTHgKZSKG.jpg
America 3000;900 years after a nuclear war in the USA, mankind is back to the stone ages. Amazon women rule the tribes, while the men are weak and dumb - either kept as slaves or living wild as animals. Only Korvis and a friend are intelligent enough to flee and found a tribe of their own. Will they manage to teach the women love to men again?;84;1986-04-08;/y94D3iXDCRNVlA2ceOzhWJmZNKV.jpg
American Burger;A bus load of American students, all jocks, cheerleaders and nerds, are on a culture trip in Europe when they stumble upon a mysterious Hamburger stand in the deep European woods, selling 100% American Burgers. A visit to the Burger Factory behind the stand, renders them trapped in this unknown territory, and they are about to realize that European notion of American Hamburgers is terrifyingly different from what they're used to... The road trip descends into a battle for survival as Americans are treated as cows. Who's going to end up in the slaughterhouse? Will the nerds ever get to score with the cheerleaders? Cliques are formed... Strategies are made... And in the midst of it all they learn a thing or two about friendship, survival, consumerism, horny teenage urges and, perhaps most importantly, to never visit a fast-food restaurant ever again. And the nerds somehow end up having the... Best. Summer. Ever.;90;2014-10-17;/9fUoevDdweu2y9Cg5BzMTAHblJt.jpg
American Gun;A brilliant story with an unexpected twist. A father uses the serial number on a hand gun in an attempt to track down his daughter's killer. The truth he uncovers is an unsettling reminder of the dangers of keeping handguns. Stars the legendary James Coburn and the incredibly gifted Virginia Madsen. Written and directed by Alan Jacobs.;89;2002-06-13;/5LJ8b2XIh2JURI9vJSnxN793LLk.jpg
Amour fou;"A ""romantic comedy"" based loosely on the suicide of the poet Henrich von Kleist in 1811.";96;2014-05-16;/UwKRF6vz8x2WAp5xuWUsCtkGJY.jpg
An Evening of Edgar Allan Poe;A collection of 4 Poe stories narrated by Vincent Price: 1) The Telltale Heart, 2) Pit and the Pendulum, 3) The Sphinx, and 4) The Cask of Amantillado.;53;1970-01-01;/xtPFo9tCn3y30DwxlwqGwInD5gZ.jpg
Anaconda;"A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.";89;1997-04-11;/DcGgcAAdZnW5A9AV03JTFFjft5.jpg
Anarchism in America;A colorful and provocative survey of anarchism in America, the film attempts to dispel popular misconceptions and trace the historical development of the movement. The film explores the movement both as a native American philosophy stemming from 19th century American traditions of individualism, and as a foreign ideology brought to America by immigrants. The film features rare archival footage and interviews with significant personalities in anarchist history including Murray Boochkin and Karl Hess, and also live performance footage of the Dead Kennedys.;75;1983-01-01;/gImKN48YPYwiInR38xAU1ahHdP.jpg
Angel;15 year-old Molly is top of her high school class. But nobody suspects that the model pupil earns her money at night: as a prostitute on Sunset Blvd. The well-organized separation of her two lives is shattered when two of her friends are slain by a serial killer. She's the only eye witness and becomes a target herself.;89;1984-04-19;/3O7VwsGQdgqjChRxSZwPjjYND6m.jpg
Angel-A;A beautiful and mysterious woman helps an inept scam artist get his game together...but is their meeting purely coincidence?;91;2005-12-21;/ojUGHGfroGRwW7jO0727txepQbC.jpg
Anna: the Pleasure, the Torment;A beautiful but poor young girl finds all the money and material goods she never had when she becomes the girlfriend of a crime boss, but soon learns that there is a price to be paid for that kind of life.;100;1973-11-27;/rj0kB9lozSJylWMJJfJPo6Twbdq.jpg
Army Dog;A brave Army dog returns to the U.S., where he helps his heroic handler bond with his resentful daughter on a camping trip despite danger lurking around every corner.;90;2016-01-12;/5DEd8Oaw8T2EKQkcPhE4a8JFFgI.jpg
Around the World in 80 Days;A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.;120;2004-06-16;/2glntoCztzLkfjajsJKNOSY0vpn.jpg
Assassination on the Tiber;A black-out occurs during the meeting of a gang of criminals. When the light is back one of them is found killed with a stab on his back and all the clues point to a penniless man who had an argument with the victim a short time before the murder.;98;1979-10-12;/esLQbKmkkRa5C7WixVrWrPmRqBi.jpg
At First Sight;A blind man has an operation to regain his sight at the urging of his girlfriend and must deal with the changes to his life.;128;1999-01-15;/3noBOQroTjMWAYhlku95Y06v5C5.jpg
Author! Author!;A broadway playwright is burning the candle at both ends. He is dealing with pressure from a production nearing premiere, a wife who is leaving him, and 5 children 4 of which belong to her.;110;1982-06-18;/gPnCSbuZW24I6RsPHpOSttBg5E4.jpg
Azzurro;75-year-old Giuseppe De Metrio has spent 30 years in Geneva, as foreign worker for the Broyer company. Upon retirement, he returned to Puglia, Italy, where his family had continued to live. His only grandchild, 7-year-old Carla, is blind. The whole family looks forward hopefully to the day when Carla's sight can be restored by means of a cornea transplantation. After a heart attack, Giuseppe decides to wait no longer and returns to Switzerland to ask his former boss Mr. Broyer for the money necessary for the operation, as an old promise binds the two men. Intended as a 48-hour trip, Giuseppe and Carla's visit in Switzerland becomes a journey that both grandfather and granddaughter never dreamt of...;84;2000-08-12;/ew7vwEqwuijXQHqu9Yt0TgOpzD3.jpg
Bad Grandpa;86-year-old Irving Zisman is on a journey across America with the most unlikely companion: his 8 year-old grandson, Billy.;92;2013-10-22;/9XJ1RICUVM8nxSHFphl5c6ZyQtH.jpg
Band of Robbers;"A comedic thriller that re-imagines Mark Twain's iconic literary characters of ""Huckleberry Finn"" and ""Tom Sawyer"" as grown men in current day.";95;2016-01-15;/p7wmDch0fM9qwXXVJPDOWYW4GCf.jpg
Bank Holiday;A 1930's British summer Bank Holiday starts at midday on Saturday with a rush for the trains to the seaside. Doreen and Milly are off to a beauty contest, Geoffrey and Catherine are having an illicit weekend in the Grand Hotel and May and the kids are set for a more straightforward holiday of sea, sand, and pub. Meanwhile, the manager and performers on the pier are praying for rain.;86;1938-01-27;/lGxSiDbe8DmaX407Jrki5EwdccA.jpg
Bank Shot;A bank temporarily housed in a mobile home while a new building is built, looks like an easy target to break into. On the other hand, why not steal the whole bank, and rob it in a safer location.;83;1974-07-31;/cMvENFxSIXNw9LfERUX5qhCKFTn.jpg
Barbed Wire;A cattle buyer (Gene Autry), a federal agent (Pat Buttram) and a newswoman (Anne James) snip a railroad plot.;61;1952-07-25;/73qdnOgZxOrWleXAabPo3xzTHIv.jpg
Bare Knuckles;A bounty hunter in Los Angeles sets out to track down and stop a masked serial killer who murders women by using kung-fu moves.;90;1977-09-08;/7FTYuO2URAJSBfJ78dgUSIlcGvO.jpg
Barely Lethal;"A 16-year-old international assassin yearning for a ""normal"" adolescence fakes her own death and enrolls as a senior in a suburban high school. She quickly learns that being popular can be more painful than getting water-boarded.";96;2015-04-30;/nJm0vGJVyELlQEzHRq22vi2JHbW.jpg
Barry;A biopic of Barack Obama set during his time as a college student in New York City.;104;2016-09-10;/yttnkAg8lrL1AZgK3QztJRnj6oE.jpg
Bastards;"A ""Hitlerjugend"" kind of story, set in the Soviet Union during the Second World War, based on a fictitious story from the eponymous book by Vladimir Kunin.";97;2006-02-02;/wzp1Qh2tfczlTYHkeC9ASq6nTej.jpg
Bathing Beauty;A big splash in her first starring role: Esther Williams is a teacher at a women's college -- and wacky Red Skelton enrolls to be near her. An astonishing flames-and-fountains aquatic finale.;101;1944-07-01;/pJkfsQdpUDu0uULdc1hA32rZPfk.jpg
